ID	AC	DE	GA	TP	ML	CL	NE	AC_version
2H-SAK	PF22547	Swiss Army Knife, 2H phosphoesterase domain	27; 27;	Domain	124	CL0247		PF22547.2
2HCT	PF03390	2-hydroxycarboxylate transporter family	26.2; 26.2;	Family	415	CL0064		PF03390.20
2L_N_poxvirus	PF21584	Poxvirus, 2L, N-terminal domain	27; 27;	Domain	173	CL0343		PF21584.2
2OG-FeII_Oxy	PF03171	2OG-Fe(II) oxygenase superfamily	23; 23;	Domain	101	CL0029		PF03171.26
2OG-FeII_Oxy_2	PF13532	2OG-Fe(II) oxygenase superfamily	31.2; 31.2;	Domain	194	CL0029		PF13532.12
2OG-FeII_Oxy_3	PF13640	2OG-Fe(II) oxygenase superfamily	27; 27;	Domain	98	CL0029		PF13640.12
2OG-FeII_Oxy_4	PF13661	2OG-Fe(II) oxygenase superfamily	27; 27;	Domain	98	CL0029		PF13661.12
2OG-FeII_Oxy_5	PF13759	Putative 2OG-Fe(II) oxygenase	27; 27;	Domain	101	CL0029		PF13759.12
2OG-FeII_Oxy_6	PF20515	Tet-like 2OG-Fe(II) oxygenase superfamily	27; 27;	Domain	211	CL0029		PF20515.4
2OG-Fe_Oxy_2	PF10014	2OG-Fe dioxygenase	23.1; 23.1;	Domain	192	CL0029		PF10014.15
2TM	PF13239	2TM domain	24.8; 22.9;	Family	79			PF13239.11
2TM_P5A-ATPase	PF23143	P5A-ATPase, transmembrane helical hairpin	27; 27;	Domain	70			PF23143.1
2_5_RNA_ligase2	PF13563	2'-5' RNA ligase superfamily	27; 27;	Family	152	CL0247		PF13563.12
3-dmu-9_3-mt	PF06983	3-demethylubiquinone-9 3-methyltransferase	24; 24;	Family	116	CL0104		PF06983.19
3-HAO	PF06052	3-hydroxyanthranilic acid dioxygenase	25; 25;	Domain	151	CL0029		PF06052.18
3-PAP	PF12578	Myotubularin-associated protein	23.3; 23.3;	Family	132			PF12578.13
30K_MP_core	PF17644	Jelly-roll domain of 30K viral movement proteins	25; 25;	Domain	138	CL0055		PF17644.7
30K_MP_C_Ter	PF11330	C-Terminal of 30K viral movement proteins	27; 27;	Family	259			PF11330.14
3A	PF00803	3A/RNA2 movement protein family	25; 25;	Family	237	CL0571		PF00803.23
3Beta_HSD	PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family	22; 22;	Family	280	CL0063		PF01073.25
3D	PF06725	3D domain	23.8; 23.8;	Domain	72	CL0199		PF06725.17
3H	PF02829	3H domain	25; 25;	Family	97			PF02829.19
3HBD	PF22951	Three-helical bundle domain	27; 27;	Domain	100			PF22951.1
3HBOH	PF10605	3HB-oligomer hydrolase (3HBOH) 	27; 26.4;	Family	688	CL0028		PF10605.15
3HCDH	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	22.1; 22.1;	Domain	97	CL0106		PF00725.27
3HCDH_N	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	22; 22;	Domain	180	CL0063		PF02737.24
3HCDH_RFF	PF18321	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain	23.6; 23.6;	Domain	69	CL0063		PF18321.7
3keto-disac_hyd	PF06439	3-keto-disaccharide hydrolase	26.8; 26.8;	Domain	187	CL0004		PF06439.18
40S_S4_C	PF16121	40S ribosomal protein S4 C-terminus	27; 27;	Family	48			PF16121.10
40S_SA_C	PF16122	40S ribosomal protein SA C-terminus	25; 25;	Family	95			PF16122.10
4HB	PF17947	Four helical bundle domain	26.1; 26.1;	Domain	78			PF17947.6
4HBT	PF03061	Thioesterase superfamily	20.6; 20.6;	Domain	79	CL0050		PF03061.28
4HBT_2	PF13279	Thioesterase-like superfamily	25.5; 25.5;	Domain	122	CL0050		PF13279.12
4HBT_3	PF13622	Acyl-CoA thioesterase N-terminal domain	24.3; 24.3;	Domain	83	CL0050		PF13622.12
4HBT_3C	PF20789	Acyl-CoA thioesterase C-terminal domain	24.1; 24.1;	Domain	140	CL0050		PF20789.3
4HB_KIF14	PF23313	KIF14 four-helical bundle	27; 27;	Domain	141			PF23313.1
4HB_MCP_1	PF12729	Four helix bundle sensory module for signal transduction	27; 27;	Family	181	CL0457		PF12729.13
4HFCP_synth	PF04476	4-HFC-P synthase	22.4; 22.4;	Family	228	CL0036		PF04476.19
4HPAD_g_N	PF18671	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal	25; 25;	Domain	31			PF18671.6
4PPT_N	PF17837	4'-phosphopantetheinyl transferase N-terminal domain	27; 27;	Domain	68	CL0670		PF17837.6
4_1_CTD	PF05902	4.1 protein C-terminal domain (CTD)	25; 25;	Domain	107			PF05902.18
5-FTHF_cyc-lig	PF01812	5-formyltetrahydrofolate cyclo-ligase family	27; 27;	Family	186	CL0063		PF01812.26
5-nucleotidase	PF06189	5'-nucleotidase	28.2; 28.2;	Family	302			PF06189.17
53-BP1_Tudor	PF09038	Tumour suppressor p53-binding protein-1 Tudor	22; 22;	Domain	122	CL0010		PF09038.16
56B_RHH	PF21432	56B-like, Ribbon-helix-helix	27.2; 27.2;	Domain	32	CL0057		PF21432.3
5HT_transport_N	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus	23; 23;	Family	41			PF03491.18
5TM-5TMR_LYT	PF07694	5TMR of 5TMR-LYT	24.6; 24.6;	Domain	169	CL0315		PF07694.17
5TMH_Lnb	PF25221	Lnb transmembrane domain	25.2; 25.2;	Domain	144			PF25221.1
5_3_exonuc	PF01367	5'-3' exonuclease, C-terminal SAM fold	40; 40;	Domain	97	CL0464		PF01367.25
5_3_exonuc_N	PF02739	5'-3' exonuclease, N-terminal resolvase-like domain	34.3; 34.3;	Domain	164	CL0280		PF02739.22
5_nucleotid	PF05761	5' nucleotidase family	28.5; 28.5;	Family	460	CL0137		PF05761.20
5_nucleotid_C	PF02872	5'-nucleotidase, C-terminal domain	23.6; 23.6;	Domain	158	CL0781		PF02872.23
60KD_IMP	PF02096	60Kd inner membrane protein	35; 35;	Family	163	CL0376		PF02096.25
6PF2K	PF01591	6-phosphofructo-2-kinase	27; 27;	Domain	223	CL0023		PF01591.24
6PGD	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	27; 27;	Domain	290	CL0106		PF00393.24
6PGD_like	PF22242	6-phosphogluconate dehydrogenase C-terminal domain-like	27; 27;	Domain	98	CL0106		PF22242.1
6TM_1st_PGAP2IP	PF23022	PGAP2IP, first transmembrane domain	27; 27;	Domain	156	CL0015		PF23022.3
6TM_2nd_PGAP2IP	PF23021	PGAP2IP, second transmembrane domain	27; 27;	Domain	181	CL0015		PF23021.3
6TM_PilS	PF25323	PilS-like transmembrane domain	27; 27;	Domain	189			PF25323.1
7kD_DNA_binding	PF02294	7kD DNA-binding domain	25; 25;	Domain	58	CL0010		PF02294.24
7TM-7TMR_HD	PF07698	7TM receptor with intracellular HD hydrolase	29.4; 29.4;	Domain	190	CL0192		PF07698.17
7TMR-DISMED2	PF07696	7TMR-DISM extracellular 2	22; 22;	Domain	136	CL0202		PF07696.17
7TMR-DISM_7TM	PF07695	7TM diverse intracellular signalling	29; 29;	Domain	205	CL0192		PF07695.17
7TMR-HDED	PF07697	7TM-HD extracellular	27.6; 27.6;	Domain	224			PF07697.16
7tm_1	PF00001	7 transmembrane receptor (rhodopsin family)	30.5; 30.5;	Domain	260	CL0192	HTH_Tnp_Tc3_2	PF00001.26
7tm_2	PF00002	7 transmembrane receptor (Secretin family)	20.6; 20.6;	Domain	250	CL0192		PF00002.29
7tm_3	PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	33.5; 33.5;	Domain	251	CL0192		PF00003.28
7tm_4	PF13853	Olfactory receptor	27; 27;	Family	280	CL0192		PF13853.12
7tm_6	PF02949	7tm Odorant receptor	25.8; 25.8;	Family	313	CL0176		PF02949.25
7tm_7	PF08395	7tm Chemosensory receptor	26.6; 26.6;	Family	370	CL0176		PF08395.17
7TM_GPCR_Sra	PF02117	Serpentine type 7TM GPCR chemoreceptor Sra	24; 24;	Family	328	CL0192		PF02117.22
7TM_GPCR_Srab	PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor	21; 21;	Family	324	CL0192		PF10292.15
7TM_GPCR_Srb	PF02175	Serpentine type 7TM GPCR chemoreceptor Srb	21.7; 21.7;	Family	236	CL0192		PF02175.22
7TM_GPCR_Srbc	PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc 	22; 22;	Family	273	CL0192		PF10316.15
7TM_GPCR_Srd	PF10317	Serpentine type 7TM GPCR chemoreceptor Srd	22.8; 22.8;	Family	292	CL0192		PF10317.15
7TM_GPCR_Srh	PF10318	Serpentine type 7TM GPCR chemoreceptor Srh	26.3; 26.3;	Family	302	CL0192		PF10318.15
7TM_GPCR_Sri	PF10327	Serpentine type 7TM GPCR chemoreceptor Sri	23; 23;	Family	303	CL0192		PF10327.15
7TM_GPCR_Srj	PF10319	Serpentine type 7TM GPCR chemoreceptor Srj	24.1; 24.1;	Family	310	CL0192		PF10319.15
7TM_GPCR_Srsx	PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx	24.1; 24.1;	Family	257	CL0192		PF10320.15
7TM_GPCR_Srt	PF10321	Serpentine type 7TM GPCR chemoreceptor Srt	23; 23;	Family	313	CL0192		PF10321.15
7TM_GPCR_Sru	PF10322	Serpentine type 7TM GPCR chemoreceptor Sru	26; 26;	Family	305	CL0192		PF10322.15
7TM_GPCR_Srv	PF10323	Serpentine type 7TM GPCR chemoreceptor Srv	21; 21;	Family	283	CL0192		PF10323.15
7TM_GPCR_Srw	PF10324	Serpentine type 7TM GPCR chemoreceptor Srw	22.2; 22.2;	Family	319	CL0192		PF10324.15
7TM_GPCR_Srx	PF10328	Serpentine type 7TM GPCR chemoreceptor Srx	23.8; 23.8;	Family	263	CL0192		PF10328.15
7TM_GPCR_Srz	PF10325	Serpentine type 7TM GPCR chemoreceptor Srz	22; 22;	Family	265	CL0192		PF10325.15
7TM_GPCR_Str	PF10326	Serpentine type 7TM GPCR chemoreceptor Str	22.4; 22.4;	Family	307	CL0192		PF10326.15
7TM_transglut	PF14402	7 transmembrane helices usually fused to an inactive transglutaminase	25; 25;	Family	248			PF14402.11
8TM_micro	PF17028	8TM Microsporidial transmembrane domain	25; 24.6;	Family	257			PF17028.10
8xMP	PF24838	Octameric membrane protein family (8xMP)	30; 30;	Domain	136			PF24838.2
A-2_8-polyST	PF07388	Alpha-2,8-polysialyltransferase (POLYST)	23.3; 23.3;	Family	316	CL0113		PF07388.17
A-ATP_synth_H_N	PF21585	Archaeal A-ATP synthase, subunit H, N-terminal	27; 27;	Domain	46			PF21585.2
A-sol_ELP1	PF23925	ELP1 alpha-solenoid	27.6; 27.6;	Repeat	203	CL0020		PF23925.1
A1_Propeptide	PF07966	A1 Propeptide 	20.5; 20.5;	Motif	27			PF07966.17
A24_N_bact	PF06750	Bacterial Peptidase A24 N-terminal domain	23; 23;	Domain	84			PF06750.18
A2L_zn_ribbon	PF08792	A2L zinc ribbon domain	22.9; 22.9;	Domain	33	CL0167		PF08792.16
A2M	PF00207	Alpha-2-macroglobulin family	21; 21;	Family	92	CL0159		PF00207.28
A2M_bMG2	PF21142	Bacterial alpha-2 macroglobulin MG2 domain	25.5; 25.5;	Domain	119	CL0159		PF21142.3
A2M_BRD	PF07703	Alpha-2-macroglobulin bait region domain	22.7; 22.7;	Domain	140	CL0159		PF07703.20
A2M_recep	PF07677	A-macroglobulin receptor binding domain	21.7; 21.7;	Domain	95	CL0159		PF07677.20
A9CJY8-like_N	PF21631	A9CJY8-like, N-terminal domain	27; 27;	Domain	45	CL0070		PF21631.3
Aa-Ago_N	PF22430	Ago, N-terminal domain	26; 26;	Domain	70			PF22430.1
AA9	PF03443	Auxiliary Activity family 9 (formerly GH61)	27.8; 27.8;	Family	207	CL0159		PF03443.20
AAA	PF00004	ATPase family associated with various cellular activities (AAA)	21.2; 21.2;	Domain	131	CL0023		PF00004.35
AAA-ATPase_like	PF09820	Predicted AAA-ATPase	26.1; 26.1;	Family	201	CL0023		PF09820.16
AAA_10	PF12846	AAA-like domain	27.5; 27.5;	Domain	362	CL0023		PF12846.13
AAA_11	PF13086	AAA domain	27; 27;	Domain	257	CL0023		PF13086.12
AAA_12	PF13087	AAA domain	27; 27;	Domain	195	CL0023		PF13087.12
AAA_13	PF13166	AAA domain	36; 36;	Domain	713	CL0023		PF13166.12
AAA_14	PF13173	AAA domain	27; 27;	Family	129	CL0023		PF13173.12
AAA_15	PF13175	AAA ATPase domain	32.1; 32.1;	Domain	374	CL0023		PF13175.12
AAA_16	PF13191	AAA ATPase domain	32.6; 32.6;	Domain	167	CL0023		PF13191.12
AAA_17	PF13207	AAA domain	27; 27;	Domain	136	CL0023		PF13207.12
AAA_18	PF13238	AAA domain	29.4; 29.4;	Domain	128	CL0023		PF13238.12
AAA_19	PF13245	AAA domain	25.1; 25.1;	Domain	134	CL0023		PF13245.12
AAA_2	PF07724	AAA domain (Cdc48 subfamily)	27; 27;	Domain	166	CL0023		PF07724.20
AAA_21	PF13304	AAA domain, putative AbiEii toxin, Type IV TA system	27; 27;	Domain	304	CL0023		PF13304.12
AAA_22	PF13401	AAA domain	27; 27;	Domain	130	CL0023		PF13401.12
AAA_23	PF13476	AAA domain	27; 27;	Domain	201	CL0023		PF13476.12
AAA_24	PF13479	AAA domain	27; 27;	Domain	195	CL0023		PF13479.12
AAA_25	PF13481	AAA domain	27; 27;	Domain	195	CL0023		PF13481.12
AAA_26	PF13500	AAA domain	27; 27;	Domain	198	CL0023		PF13500.12
AAA_27	PF13514	AAA domain	22; 22;	Domain	206	CL0023		PF13514.12
AAA_28	PF13521	AAA domain	27; 27;	Domain	164	CL0023		PF13521.12
AAA_29	PF13555	P-loop containing region of AAA domain	27; 27;	Domain	61	CL0023		PF13555.12
AAA_3	PF07726	ATPase family associated with various cellular activities (AAA)	27; 27;	Domain	131	CL0023		PF07726.17
AAA_30	PF13604	AAA domain	27; 27;	Domain	191	CL0023		PF13604.12
AAA_31	PF13614	AAA domain	27; 27;	Domain	177	CL0023		PF13614.12
AAA_32	PF13654	LonB-like, AAA domain	21; 21;	Domain	133	CL0023		PF13654.12
AAA_33	PF13671	AAA domain	27; 27;	Domain	143	CL0023		PF13671.12
AAA_34	PF13872	P-loop containing NTP hydrolase pore-1	27; 27;	Domain	306	CL0023		PF13872.12
AAA_35	PF14516	AAA-like domain	27; 27;	Family	331	CL0023		PF14516.12
AAA_5	PF07728	AAA domain (dynein-related subfamily)	22; 22;	Domain	139	CL0023		PF07728.20
AAA_6	PF12774	Hydrolytic ATP binding site of dynein motor region	25.2; 25.2;	Domain	327	CL0023		PF12774.13
AAA_7	PF12775	P-loop containing dynein motor region	25.8; 25.8;	Domain	181	CL0023		PF12775.13
AAA_8	PF12780	P-loop containing dynein motor region D4	25.6; 25.6;	Domain	259	CL0023		PF12780.13
AAA_9	PF12781	ATP-binding dynein motor region	27.4; 27.4;	Domain	222	CL0023		PF12781.13
AAA_assoc	PF14363	Domain associated at C-terminal with AAA	26.4; 26.4;	Family	96			PF14363.11
AAA_assoc_2	PF16193	AAA C-terminal domain	34.3; 34.3;	Family	81	CL0671		PF16193.11
AAA_assoc_C	PF09821	C-terminal AAA-associated domain	27.6; 27.6;	Domain	119			PF09821.14
AAA_lid_1	PF17857	AAA+ lid domain	21.3; 21.3;	Domain	100	CL0671		PF17857.7
AAA_lid_10	PF17872	AAA lid domain	23.2; 23.2;	Domain	99	CL0671		PF17872.7
AAA_lid_11	PF18198	Dynein heavy chain AAA lid domain	31; 31;	Domain	140	CL0671		PF18198.7
AAA_lid_12	PF21396	AAA+ ATPase lid domain	27; 27;	Domain	49	CL0671		PF21396.3
AAA_lid_13	PF23232	Fungal AAA+ ATPase lid domain	27; 27;	Domain	105	CL0671		PF23232.1
AAA_lid_14	PF25601	AAA+ ATPase lid domain	27; 27;	Domain	87	CL0671		PF25601.1
AAA_lid_2	PF17863	AAA lid domain	22.7; 22.7;	Domain	74	CL0671		PF17863.7
AAA_lid_3	PF17862	AAA+ lid domain	27.2; 27.2;	Domain	45	CL0671		PF17862.7
AAA_lid_4	PF17864	RuvB AAA lid domain	27; 27;	Domain	74	CL0671		PF17864.7
AAA_lid_5	PF17865	Midasin AAA lid domain	22.7; 22.7;	Domain	104	CL0671		PF17865.7
AAA_lid_6	PF17866	AAA lid domain	24.3; 24.3;	Domain	60	CL0671		PF17866.7
AAA_lid_7	PF17867	Midasin AAA lid domain	22.7; 22.7;	Domain	106	CL0671		PF17867.7
AAA_lid_8	PF17868	AAA lid domain	22.8; 22.8;	Domain	72	CL0671		PF17868.7
AAA_lid_9	PF17871	AAA lid domain	22.8; 22.8;	Domain	104	CL0671		PF17871.7
AAA_lid_At3g28540	PF25568	At3g28540-like, AAA+ ATPase lid domain	27; 27;	Domain	75	CL0671		PF25568.1
AAA_lid_BCS1	PF25426	Mitochondrial chaperone BCS1-like, ATPase lid domain	27; 27;	Domain	60	CL0671		PF25426.1
AAA_lid_NAV1	PF25408	NAV1-like, AAA+ ATPase lid domain	27; 27;	Domain	115	CL0671		PF25408.1
AAA_lid_PRS2_C	PF23902	PRS2 AAA+ lid C-terminal domain 	34; 34;	Domain	73	CL0671		PF23902.1
AAA_lid_RFC1	PF25361	RFC1-like, AAA+ ATPase lid domain	34.9; 34.9;	Domain	59	CL0671		PF25361.1
AAA_lid_TANC1	PF25520	TANC1-like, AAA+ ATPase lid domain	29.1; 29.1;	Domain	96	CL0671		PF25520.1
AAA_lid_TRIP13_C	PF23242	TRIP13-like, AAA+ ATPase lid C-terminal domain	27; 27;	Domain	110	CL0671		PF23242.1
AAA_PrkA	PF08298	PrkA AAA domain	25; 25;	Domain	358	CL0023		PF08298.17
AadA_C	PF13427	Aminoglycoside adenylyltransferase, C-terminal domain	22.2; 22.2;	Domain	103			PF13427.11
AalphaY_MDB	PF04611	Mating type protein A alpha Y mating type dependent binding region 	32.1; 32.1;	Family	146			PF04611.18
AAL_decarboxy	PF03306	Alpha-acetolactate decarboxylase	25; 25;	Domain	219	CL0615		PF03306.18
AAR2	PF05282	AAR2 C-terminal repeat region	23.6; 23.6;	Repeat	160	CL0020		PF05282.17
AAR2_1st	PF20981	AAR2 N-terminal domain	23.6; 23.6;	Domain	134			PF20981.2
AARP2CN	PF08142	AARP2CN (NUC121) domain	23.8; 23.8;	Domain	73	CL0866		PF08142.18
AASDHPPT_N	PF22624	4'-phosphopantetheinyl transferase, N-terminal	27; 27;	Domain	100	CL0670		PF22624.1
AAT	PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	23.2; 23.2;	Domain	225	CL0052		PF03417.21
AATase	PF07247	Alcohol acetyltransferase	22; 22;	Family	500	CL0149		PF07247.17
AATF-Che1	PF13339	Apoptosis antagonizing transcription factor	24.7; 24.7;	Family	137			PF13339.11
AA_kinase	PF00696	Amino acid kinase family	24.9; 24.9;	Family	234			PF00696.33
AA_permease	PF00324	Amino acid permease	24.6; 24.6;	Domain	470	CL0062		PF00324.27
AA_permease_2	PF13520	Amino acid permease	27; 27;	Family	427	CL0062		PF13520.12
AA_permease_C	PF13906	C-terminus of AA_permease	27; 27;	Domain	51	CL0062		PF13906.12
AA_permease_N	PF08403	Amino acid permease N-terminal	21; 21;	Family	70			PF08403.15
AA_synth	PF06684	Amino acid synthesis	27; 27;	Family	175			PF06684.16
Aa_trans	PF01490	Transmembrane amino acid transporter protein	25.6; 25.6;	Domain	410	CL0062		PF01490.24
ABA4-like	PF14108	ABA DEFICIENT 4-like	27; 27;	Family	127			PF14108.11
ABATE	PF07336	Putative stress-induced transcription regulator	24.4; 24.4;	Family	130			PF07336.16
ABA_GPCR	PF12430	Abscisic acid G-protein coupled receptor 	22.1; 22.1;	Family	180			PF12430.13
ABA_WDS	PF02496	ABA/WDS induced protein	25; 25;	Family	78			PF02496.21
AbbA_antirepres	PF14156	Antirepressor AbbA	27; 27;	Family	63			PF14156.11
ABC-3	PF00950	ABC 3 transport family	20.1; 20.1;	Family	258	CL0142		PF00950.22
ABC1	PF03109	ABC1 atypical kinase-like domain	22.9; 22.9;	Domain	244	CL0016		PF03109.22
ABC2_membrane	PF01061	ABC-2 type transporter	26.9; 26.9;	Domain	211	CL0181		PF01061.29
ABC2_membrane_2	PF12679	ABC-2 family transporter protein	27.2; 27.2;	Domain	283	CL0181		PF12679.13
ABC2_membrane_3	PF12698	ABC-2 family transporter protein	31.6; 31.6;	Family	347	CL0181		PF12698.13
ABC2_membrane_4	PF12730	ABC-2 family transporter protein	27; 27;	Family	179	CL0181		PF12730.13
ABC2_membrane_5	PF13346	ABC-2 family transporter protein	25; 25;	Family	205	CL0181		PF13346.12
ABC2_membrane_6	PF06182	ABC-2 family transporter protein	22; 22;	Family	229	CL0181		PF06182.17
ABC2_membrane_7	PF19055	ABC-2 type transporter	22.7; 22.7;	Family	410	CL0181		PF19055.6
ABCA11_C	PF25158	ABC transporter A family member 11-like, C-terminal domain	27; 27;	Domain	55			PF25158.1
ABCA12_C	PF24526	ABCA12-like, C-terminal domain	34.8; 34.8;	Domain	51	CL0437		PF24526.1
ABCC10_N	PF24358	ABCC10 N-terminal domain	26; 26;	Domain	200	CL0853		PF24358.1
ABC_AB	PF21707	Emaravirus ABC_AB protein 	27.5; 27.5;	Family	100	CL0761		PF21707.3
ABC_ATPase	PF09818	P-loop domain	23.2; 23.2;	Domain	283	CL0023		PF09818.15
ABC_C	PF21709	Emaravirus ABC_C protein	27; 27;	Family	86	CL0761		PF21709.3
ABC_cobalt	PF09819	ABC-type cobalt transport system, permease component	25.2; 25.2;	Family	121			PF09819.14
ABC_export	PF16962	Putative ABC exporter	29.7; 29.7;	Family	531	CL0181		PF16962.11
ABC_membrane	PF00664	ABC transporter transmembrane region	28; 21.7;	Family	274	CL0241		PF00664.28
ABC_membrane_2	PF06472	ABC transporter transmembrane region 2	24.4; 24.4;	Family	269	CL0241		PF06472.20
ABC_membrane_3	PF13748	ABC transporter transmembrane region	27; 27;	Family	237	CL0241		PF13748.11
ABC_N	PF20446	ATPase of the ABC class N-terminal	26.5; 26.5;	Domain	162	CL0097		PF20446.3
ABC_sub_bind	PF04392	ABC transporter substrate binding protein	25.9; 25.9;	Family	293	CL0144		PF04392.18
ABC_toxin_N	PF20220	ABC toxin N-terminal region	27; 27;	Family	122			PF20220.3
ABC_tran	PF00005	ABC transporter	25; 25;	Domain	137	CL0023	Chromo	PF00005.33
ABC_transp_aux	PF09822	ABC-type uncharacterized transport system	34.7; 34.7;	Domain	288	CL0014		PF09822.16
ABC_trans_aux	PF03886	ABC-type transport auxiliary lipoprotein component	26; 26;	Family	161	CL0342		PF03886.18
ABC_trans_CmpB	PF06541	Putative ABC-transporter type IV	25.9; 25.9;	Family	151			PF06541.16
ABC_trans_N	PF14510	ABC-transporter N-terminal	25.4; 25.4;	Domain	89			PF14510.11
ABC_tran_2	PF16949	Putative ATP-binding cassette	25.7; 25.7;	Family	542	CL0181		PF16949.11
ABC_tran_CTD	PF16326	ABC transporter C-terminal domain	32; 32;	Coiled-coil	69			PF16326.10
ABC_tran_Xtn	PF12848	ABC transporter	25.9; 25.9;	Domain	85	CL0023		PF12848.13
Abdominal-A	PF12407	Homeobox protein 	25; 25;	Disordered	24			PF12407.13
AbfB	PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain	22.8; 22.8;	Domain	137	CL0066		PF05270.19
AbfS_sensor	PF18225	Sensor histidine kinase (AbfS) sensor domain	26; 26;	Domain	65	CL0183		PF18225.7
ABG_transport	PF03806	AbgT putative transporter family	27; 27;	Family	502	CL0182		PF03806.19
ABHD16_N	PF22990	Phosphatidylserine Lipase ABHD16 N-terminal domain	27; 27;	Domain	125			PF22990.1
ABHD18	PF09752	Alpha/beta hydrolase domain containing 18 	21; 21;	Family	351	CL0028		PF09752.15
ABhydrolase-like_N	PF22316	A/B hydrolase-like, N-terminal domain	27; 27;	Repeat	106	CL0020		PF22316.2
Abhydrolase_1	PF00561	alpha/beta hydrolase fold	25.8; 25.8;	Domain	245	CL0028		PF00561.26
Abhydrolase_10	PF20091	Alpha/beta hydrolase domain	23; 23;	Domain	429	CL0028		PF20091.5
Abhydrolase_11	PF20408	Alpha/beta hydrolase domain	27; 27;	Domain	193	CL0028		PF20408.4
Abhydrolase_2	PF02230	Phospholipase/Carboxylesterase	23; 23;	Domain	217	CL0028		PF02230.22
Abhydrolase_3	PF07859	alpha/beta hydrolase fold	25; 25;	Domain	210	CL0028		PF07859.19
Abhydrolase_4	PF08386	TAP-like protein	21; 21;	Family	103	CL0028		PF08386.16
Abhydrolase_5	PF12695	Alpha/beta hydrolase family	27; 27;	Domain	164	CL0028		PF12695.13
Abhydrolase_6	PF12697	Alpha/beta hydrolase family	26.3; 26.3;	Domain	217	CL0028		PF12697.13
Abhydrolase_7	PF12715	Abhydrolase family	21; 21;	Domain	388	CL0028		PF12715.13
Abhydrolase_8	PF06259	Alpha/beta hydrolase	20.5; 20.5;	Family	178	CL0028		PF06259.18
